Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_sgd
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,128GB SSD,AMD Radeon R5,Windows 10,2.1,668.82
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.25,3452.43
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD,4,128GB SSD,AMD Radeon R5,Windows 10,2.6,767.73
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,1364.35
HP,15-bw003nv,Notebook,15.6,1920x1080,AMD,4,256GB SSD,AMD Radeon R5,Windows 10,1.91,767.71
Lenovo,Yoga 11e,Netbook,11.6,l1366x768,Intel Others,4,128GB SSD,Intel HD Graphics 500,Windows 10,1.59,868.21
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 400,Windows 10,1.8,485.13
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel Others,4,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5,449.02
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,1328.22
HP,Omen 17-w212nv,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,1869.87
Lenovo,V310-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,No OS,1.85,633.5
Asus,ROG Strix,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.3,2598.35
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.5,1725.43
Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD Graphics 620,Windows 10,1.1,2745.77
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.13,3582.74
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 620,Windows 10,1.5,861.93
Dell,Precision 3510,Workstation,15.6,1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro W5130M,Windows 10,2.23,2149.33
Dell,Precision 5520,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro M1200,Windows 10,2.0,3351.95
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD Graphics 620,Windows 10,1.42,3939.13
Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,1631.23
Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,2497.87
Acer,Aspire 5,Notebook,15.6,l1366x768,Intel Core i5,12,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,1089.56
MSI,Leopard GP72M,Gaming,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,2117.93
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon R7 M445,Linux,2.33,1222.83
HP,15-BW004nv,Ultrabook,15.6,1920x1080,AMD,4,256GB SSD,AMD Radeon 520,Windows 10,1.91,783.43
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon RX 550,Windows 10,2.1,1930.41
Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.9,1472.66
Dell,Precision M5520,Workstation,15.6,3840x2160,Intel Core i7,8,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78,4257.84
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel Core i7,16,1TB SSD,Intel HD Graphics 620,Windows 10,1.13,4121.25
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 500,Windows 10,2.2,480.42
Asus,FX753VD-GC461T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,2400.53
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows 10,2.1,1796.87
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050,Linux,2.5,1380.03
MSI,GE73VR 7RF,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,3530.93
Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.1,2940.61
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel HD Graphics 520,Windows 10,1.2,2742.79
Dell,Latitude 7480,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD Graphics,Windows 10,1.36,2637.6
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.2,642.13
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel Others,2,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.15,477.99
Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia Quadro M1200,Windows 10,2.67,3022.25
Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,Intel Core i7,8,512GB SSD,Nvidia GeForce GT 940MX,Windows 10,1.7,3050.51
HP,15-BS028nv,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon 520,Windows 10,2.1,736.33
Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.6,1238.75
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.27,1456.96
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon R5 M430,Linux,2.3,940.27
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.65,1081.73
HP,EliteBook 1040,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 520,Windows 10,1.43,2355.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.14,847.72
Lenovo,ThinkPad E480,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon RX 550,Windows 10,1.75,1908.15
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.0,2981.43
Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,Intel Others,6,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.4,704.93
HP,ProBook 650,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 630,Windows 10,2.31,2240.39
Asus,X542UQ-DM117,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,937.29
Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,4394.43
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1819.63
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02,1793.57
Dell,Latitude 5480,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Linux,1.6,1725.43
HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Intel Core i7,12,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.35,3138.43
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,Intel Others,4,32GB SSD,Intel HD Graphics 500,Windows 10,1.16,469.43
Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel Others,4,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.15,422.33
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.4,1585.7
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 620,Windows 10,1.7,940.43
Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,3838.65
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro M2200M,Windows 10,2.5,3844.93
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,2661.15
HP,15-ra044nv,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 400,Windows 10,2.1,544.79
Google,Pixelbook,Ultrabook,12.3,2400x1600,Intel Core i7,16,512GB SSD,Intel HD Graphics 615,Chrome OS,1.1,3452.43
Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Intel Core i7,24,512GB SSD,Intel HD Graphics 620,Windows 10,1.32,3739.74
Asus,VivoBook Max,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel HD Graphics 620,Linux,2.0,877.63
Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,AMD,8,1TB HDD,AMD Radeon R4,Windows 10,2.8,814.83
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon 530,Windows 10,2.2,1175.93
Lenovo,ThinkPad X270,Ultrabook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2243.53
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1920x1080,Intel Others,4,128GB SSD,Intel HD Graphics 505,Windows 10,2.2,547.93
HP,Omen 15-AX205na,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,1725.43
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64,1851.03
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD Graphics 620,Linux,2.4,693.63
Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Others,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,2.23,3129.01
MSI,GV62 7RD-1686NL,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.2,1613.55
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7,16,512GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25,4064.73
HP,15-bs024nv,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD Graphics 620,Windows 10,1.91,924.73
Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro M620,Windows 10,2.17,3100.75
HP,ProBook 650,Workstation,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,2.31,2408.38
Lenovo,ThinkPad T470,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.65,2111.65
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.36,1537.03
Dell,Inspiron 3168,2 in 1 Convertible,11.6,n1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 405,Windows 10,1.47,752.03
Dell,Alienware 17,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42,3212.22
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Others,4,128GB SSD,Intel HD Graphics 615,Windows 10 S,1.252,1552.73
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2824.43
HP,17-BS092ND,Notebook,17.3,1600x900,Intel Core i3,8,256GB SSD,Intel HD Graphics 520,Windows 10,2.5,1004.64
Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.23,854.08
Acer,TravelMate B,Netbook,11.6,1366x768,Intel Others,4,128GB SSD,Intel HD Graphics 400,Windows 10,1.4,682.95
Asus,Pro P2540UA-AB51,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.37,1175.93
Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,1920x1080,Intel Core i7,8,512GB SSD,AMD Radeon R7 M460,No OS,1.5,1254.43
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro M2200M,Windows 10,2.67,3281.3
Asus,X541NA-PD1003Y,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 500,Windows 10,2.0,477.28
Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.2,736.33
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,AMD Radeon 530,Windows 10,2.02,1191.63
HP,Omen 17-an006nv,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.78,2667.43
Lenovo,Thinkpad T460s,Ultrabook,14.0,2560x1440,Intel Core i7,12,256GB SSD,Intel HD Graphics 520,Windows 10,1.4,2917.06
HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel Core i7,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.29,3138.43
HP,ZBook 15u,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro W4190M ,Windows 10,1.9,1811.78
Google,Pixelbook,Ultrabook,12.3,2400x1600,Intel Core i5,8,128GB SSD,Intel HD Graphics 615,Chrome OS,1.1,2001.75
Dell,Latitude 7390,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.42,2891.7
Asus,ZenBook Pro,Notebook,15.6,3840x2160,Intel Core i7,12,128GB SSD +  1TB HDD,Intel HD Graphics 530,Windows 10,2.06,2039.43
Dell,Latitude E5470,Notebook,14.0,1366x768,Intel Core i3,8,128GB SSD,Intel HD Graphics 520,Windows 10,1.79,1161.8
Dell,Precision M5520,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78,3780.56
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel Core i5,8,180GB SSD,Intel HD Graphics 620,Windows 10,1.7,2141.48
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon 520,Windows 10,2.2,1059.75
Toshiba,Portege X30-D-10J,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,2625.04
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.16,1981.34
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,920.96
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1139.82
Chuwi,"Lapbook 15,6",Notebook,15.6,1920x1080,Intel Others,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,390.77
Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.3,887.05
Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.75,1646.93
Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro M620,Windows 10,2.17,3670.66
Dell,XPS 15,Notebook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,2981.43
Lenovo,Thinkpad X270,Ultrabook,12.5,1920x1080,Intel Core i7,16,512GB SSD,Intel HD Graphics 620,Windows 10,1.36,2822.86
Asus,Zenbook UX390UA,Ultrabook,12.5,1920x1080,Intel Core i7,16,512GB SSD,Intel HD Graphics 620,Windows 10,0.91,3061.5
Lenovo,Thinkpad E570,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,1588.82
Toshiba,Portege X30-D-10L,Ultrabook,13.3,1920x1080,Intel Core i7,32,512GB SSD,Intel HD Graphics 620,Windows 10,1.05,4394.43
Asus,VivoBook Pro,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,1.99,2119.5
Acer,Aspire 5,Notebook,15.6,1366x768,AMD,8,1TB HDD,AMD Radeon RX 540,Windows 10,2.2,909.03
Asus,Rog G752VL-UH71T,Gaming,17.3,1920x1080,Intel Core i7,24,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,Windows 10,4.33,1992.33
Lenovo,Thinkpad X260,Ultrabook,12.5,l1366x768,Intel Core i5,8,180GB SSD,Intel HD Graphics 520,Windows 10,1.3,1725.43
Lenovo,Ideapad 520-15IKBR,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.17,1411.27
HP,EliteBook 840,Notebook,14.0,1920x1080,Intel Core i7,8,1TB SSD,Intel HD Graphics 620,Windows 10,1.48,2745.93
Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel Core i3,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.4,1489.93
Lenovo,ThinkPad L570,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,1430.27
Asus,VivoBook E201NA,Netbook,11.6,1366x768,Intel Others,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10 S,1.2,533.8
HP,15-BS026nv,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,AMD Radeon 520,Windows 10,1.91,971.81
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,2510.43
Lenovo,IdeaPad 320-14IAP,Notebook,14.0,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 500,Windows 10,2.1,469.43
Lenovo,Chromebook N23,Netbook,11.6,1366x768,Intel Others,4,16GB SSD,Intel HD Graphics 400,Chrome OS,1.25,416.05
Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.44,1489.93
Asus,ZenBook UX510UX-CN211T,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.0,1921.68
Acer,Aspire A515-51G-59QF,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,962.41
HP,Envy 13-AB002nv,Ultrabook,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.34,2077.11
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS,2.4,1803.93
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5,8,128GB SSD,Intel HD Graphics 620,Windows 10,1.29,1411.43
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7,4,500GB HDD,Nvidia GeForce 940MX,Windows 10,2.2,1003.23
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,1312.52
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2,1914.21
Xiaomi,Mi Notebook,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce MX150,No OS,1.95,2197.92
Asus,VivoBook E12,Netbook,11.6,1366x768,Intel Others,2,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1,384.65
HP,15-bs190od,Notebook,15.6,n1366x768,Intel Core i5,4,1TB HDD,Intel UHD Graphics 620,Windows 10,2.04,818.71
Asus,ROG Zephyrus,Gaming,15.6,1920x1080,Intel Core i7,24,512GB SSD,Nvidia GeForce GTX1080,Windows 10,2.24,4659.76
HP,Probook 450,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.04,1395.73
Asus,FX753VE-GC155T,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti,Windows 10,3.0,2361.28
Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,2196.43
HP,Spectre X360,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,2196.43
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.64,2009.18
HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.63,1081.73
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8,1395.73
Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 520,Windows 7,2.02,2103.8
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i7,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.2,1254.43
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3,8,2TB HDD,Nvidia GeForce 920MX ,No OS,2.2,720.63
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,AMD Radeon R5 M430,Windows 10,2.3,918.45
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.9,2161.89
Dell,Alienware 17,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,4730.05
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD Graphics 620,Windows 10,2.0,1350.2
Asus,Zenbook UX510UW-FI095T,Notebook,15.6,3840x2160,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.0,2039.43
Mediacom,SmartBook Edge,Notebook,13.3,1920x1080,Intel Others,4,32GB SSD,Intel HD Graphics 500,Windows 10,1.2,579.33
Asus,ROG Strix,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.3,2588.93
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.93,2149.33
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,1251.93
HP,250 G6,Notebook,15.6,1920x1080,Intel Others,4,256GB SSD,Intel HD Graphics 405,Windows 10,1.86,626.41
HP,Omen 15-ce006nv,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.62,2824.43
Lenovo,Thinkpad E470,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.87,1348.63
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2,2196.43
Dell,Vostro 5468,Notebook,14.0,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.6,1155.32
HP,Envy 13-AB020nr,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.34,1797.65
Acer,Aspire 7,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,1252.86
Asus,VivoBook X540YA-XX519T,Notebook,15.6,1366x768,AMD,4,500GB HDD,AMD Radeon R2 Graphics,Windows 10,2.0,547.93
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 620,Windows 10,2.1,1107.63
Lenovo,ThinkPad E470,Notebook,14.0,1920x1080,Intel Core i5,4,500GB HDD,Intel HD Graphics 620,Windows 10,1.87,1232.45
Lenovo,V310-15ISK,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD Graphics 520,No OS,2.15,725.89
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,Windows 10,1.86,623.29
Lenovo,ThinkPad T570,Notebook,15.6,1920x1080,Intel Core i7,8,512GB SSD,Intel HD Graphics 620,Windows 10,1.99,2714.53
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.2,783.43
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.9,1753.67
Dell,Alienware 17,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,4237.43
HP,17-X047na,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.65,854.32
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.63,2009.6
Asus,A541NA-GO342,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 500,Linux,2.0,351.68
Mediacom,SmartBook 130,Notebook,13.3,1920x1080,Intel Others,4,32GB Flash Storage,Intel HD Graphics,Windows 10,1.35,400.35
